AUDI,A6,73,,,,,,,,,,,,,,
BMW,SERIE 1,52,,,,,,,,,,,,,,
BMW,SERIE 5,66,,,,,,,,,,,,,,
CITROEN,BERLINGO,53,,,,,,,,,,,,,,
CITROEN,C1,35,,,,,,,,,,,,,,
CITROEN,C3,45,,,,,,,,,,,,,,
CITROEN,C3 AIR CROSS,45,,,,,,,,,,,,,,
CITROEN,C4 CACTUS,50,,,,,,,,,,,,,,
CITROEN,C4 GRAND SCENIC,57,,,,,,,,,,,,,,
CITROEN,C5 AIR CROSS,53,,,,,,,,,,,,,,
CITROEN,JUMPY,70,,,,,,,,,,,,,,
CITROEN,SPACE TOURER,69,,,,,,,,,,,,,,
DS,DS3,48,,,,,,,,,,,,,,
DS,DS7 CROSSBACK,62,,,,,,,,,,,,,,
FIAT,500,35,,,,,,,,,,,,,,
FIAT,DUCATO,90,,,,,,,,,,,,,,
FORD,FIESTA,42,,,,,,,,,,,,,,
FORD,FOCUS,52,,,,,,,,,,,,,,
FORD,GALAXY,68,,,,,,,,,,,,,,
FORD,KUGA,54,,,,,,,,,,,,,,
FORD,TRANSIT,70,,,,,,,,,,,,,,
FORD,TRANSIT CUSTOM,70,,,,,,,,,,,,,,
FORD ,MONDEO,53,,,,,,,,,,,,,,
HYUNDAI,I10,40,,,,,,,,,,,,,,
HYUNDAI,I30 INFINITI,50,,,,,,,,,,,,,,
HYUNDAI,TUCSON,62,,,,,,,,,,,,,,
IVECO,DAILY,100,,,,,,,,,,,,,,
JEEP,COMPASS,60,,,,,,,,,,,,,,
KIA,CEED,50,,,,,,,,,,,,,,
KIA,SPORTAGE,58,,,,,,,,,,,,,,
MAZDA,CX-5,56,,,,,,,,,,,,,,
MERCEDES,CLASSE A,50,,,,,,,,,,,,,,
MERCEDES,CLASSE C,66,,,,,,,,,,,,,,
MERCEDES,CLASSE E,66,,,,,,,,,,,,,,
MITSUBISHI,ECLIPSE,63,,,,,,,,,,,,,,
NISSAN,QASHQAI,55,,,,,,,,,,,,,,
OPEL,ASTRA,48,,,,,,,,,,,,,,
OPEL,COMBO,50,,,,,,,,,,,,,,
OPEL,CORSA,45,,,,,,,,,,,,,,
OPEL,CROSS LAND X,45,,,,,,,,,,,,,,
OPEL,GRAND LAND X,53,,,,,,,,,,,,,,
OPEL,INSIGNA,62,,,,,,,,,,,,,,
OPEL ,MOKKA X,52,,,,,,,,,,,,,,
OPEL ,VIVANO,80,,,,,,,,,,,,,,
PEUGEOT,108,35,,,,,,,,,,,,,,
PEUGEOT,208,45,,,,,,,,,,,,,,
PEUGEOT,308,53,,,,,,,,,,,,,,
PEUGEOT,508,60,,,,,,,,,,,,,,
PEUGEOT,2008,50,,,,,,,,,,,,,,
PEUGEOT,3008,53,,,,,,,,,,,,,,
PEUGEOT,5008,56,,,,,,,,,,,,,,
PEUGEOT,RIFTER,60,,,,,,,,,,,,,,
PEUGEOT,TRAVELLER,69,,,,,,,,,,,,,,
RENAULT,CAPTUR,45,,,,,,,,,,,,,,
RENAULT,CLIO,42,,,,,,,,,,,,,,
RENAULT,GRAND SCENIC,53,,,,,,,,,,,,,,
RENAULT,KANGOO EXPRES,60,,,,,,,,,,,,,,
RENAULT,SCENIC,52,,,,,,,,,,,,,,
RENAULT,TRAFIC,80,,,,,,,,,,,,,,
RENAULT,TWINGO,35,,,,,,,,,,,,,,
TOYOTA,AYGO,35,,,,,,,,,,,,,,
TOYOTA,YARIS,42,,,,,,,,,,,,,,
VOLVO,S60 ,60,,,,,,,,,,,,,,
VOLVO,S90 ,55,,,,,,,,,,,,,,
VOLVO,XC 60,71,,,,,,,,,,,,,,
VOLVO,XC 90,71,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
